"id","amount","available_balance","date","description","status","type","primary_account_id"
"15","133","1000.00","2021-05-28 12:13:28","Deposit to Primary Account","Finished","Account","11"
"17","10","990.00","2021-05-28 12:13:52","Withdraw from Primary Account","Finished","Account","11"
"19","170","6545.00","2021-05-28 12:15:44","Deposit to Primary Account","Finished","Account","11"
"21","10","6535.00","2021-05-28 12:15:59","Withdraw from Primary Account","Finished","Account","11"
"23","100","6435.00","2021-05-28 12:16:35","Between account transfer from Primary to Savings","Finished","Account","11"
"28","55","6446.00","2021-05-28 12:18:45","Transfer to recipient amir","Finished","Transfer","11"
"33","10","6456.00","2021-05-31 18:25:46","Deposit to Primary Account","Finished","Account","11"
"35","10","6466.00","2021-06-02 11:52:48","Deposit to Primary Account","Finished","Account","11"
"37","67","6399.00","2021-06-02 11:53:05","Withdraw from Primary Account","Finished","Account","11"
"39","8","6391.00","2021-06-02 11:53:22","Between account transfer from Primary to Savings","Finished","Account","11"
"41","66","6547.00","2021-06-02 11:53:59","Transfer to recipient ahmed","Finished","Transfer","11"
"43","104","1000.00","2021-06-02 22:50:10","Deposit to Primary Account","Finished","Account","2"
"45","55","945.00","2021-06-02 22:50:20","Withdraw from Primary Account","Finished","Account","2"
"47","5","25.00","2021-06-02 22:55:05","Deposit to Primary Account","Finished","Account","1"
"48","5","20.00","2021-06-02 22:55:11","Withdraw from Primary Account","Finished","Account","1"
"49","100","1000.00","2021-06-02 22:55:11","Deposit to Primary Account","Finished","Account","53"
"57","10","935.00","2021-06-19 18:12:14","Between account transfer from Primary to Savings","Finished","Account","2"
"59","10","6537.00","2021-06-19 18:20:37","Transfer to recipient ahmed","Finished","Transfer","11"
"61","10","10.00","2021-06-19 18:21:32","Transfer to recipient aa","Finished","Transfer","1"
